quarter,season,first_lc_mjd,last_lc_mjd
0,2,54953.0382,54962.7441
1,3,54964.0110,54997.4812
2,0,55002.0175,55090.9649
3,1,55092.7222,55181.9966
4,2,55184.8777,55274.7038
5,3,55275.9912,55370.6600
6,0,55371.9473,55461.7939
7,1,55462.6725,55552.0491
8,2,55567.8647,55634.8460
9,3,55641.016958,55738.423953
10,0,55739.343433,55832.765870
11,1,55833.7058,55930.8267
12,2,55931.9097,56014.5227
13,3,56015.2379,56105.5544
14,0,56106.6374,56203.8196
15,1,56205.9855,56303.6377
16,2,56304.5980,56390.4600
17,3,56391.7269,56423.5012
